Circonscription/ DSÉ 2021;Population totale selon les groupes d'âge;0 à 9 ans;10 à 19 ans;20 à 29 ans;30 à 39 ans;40 à 49 ans;50 à 59 ans;60 à 69 ans;70 à 79 ans;80 et plus;Hommes;Femmes;Âge moyen;Âge médian;Population 18 ans et plus;  Pyramide Total - Groupes d'âge pop. Tot.  Nombre;0 à 9 ans;10 à 19 ans;20 à 29 ans;30 à 39 ans;40 à 49 ans;50 à 59 ans;60 à 69 ans;70 à 79 ans;80 ans et plus;  Total - Groupes d'âge des hommes nombre;0 à 9 ans;10 à 19 ans;20 à 29 ans;30 à 39 ans;40 à 49 ans;50 à 59 ans;60 à 69 ans;70 à 79 ans;80 ans et plus;  Total - Groupes d'âge des femmes nombre;0 à 9 ans;10 à 19 ans;20 à 29 ans;30 à 39 ans;40 à 49 ans;50 à 59 ans;60 à 69 ans;70 à 79 ans;80 ans et plus;Population âgée de 15 ans et plus selon l'état matrimonial;  Personnes mariées ou vivant en union libre;    Personnes légalement mariées;    Vivant en union libre;    Jamais marié(e);    Séparé (e);    Divorcé(e);    Veuf ou veuve;Personnes non mariées et ne vivant pas en union libre;Population totale dans les ménages privés selon la citoyenneté;  Citoyens canadiens;    Citoyens canadiens de moins de 18 ans;    Citoyens canadiens de 18 ans et plus;  Ne sont pas des citoyens canadiens;Population dans les ménages privés selon le statut d'immigrant et période d'immigration;  Non-immigrants;  Immigrants;    Avant 1980;    1981 à 1990;    1991 à 2000;    2001 à 2010;    2011 à 2021;  Résidents non permanents;Total - Familles de recensement dans les ménages privés - Données intégrales (100 %);Couples sans enfants (Total couples mariés et en union libre);Couples avec enfants (Total couples mariés et en union libre);Monoparentales;Nombre moyen d'enfants dans les familles de recensement avec enfants;Population totale selon la langue parlée le plus souvent à la maison détaillée à l'exclusion des pensionnaires d'un établissement institutionnel;      Anglais;      Français;    Français et anglais (pourcentage);    Ni l’anglais ni le français (pourcentage);Population totale dans les ménages privés selon les minorités visibles;  Total de la population des minorités visibles;    Sud-Asiatique;    Chinois;    Noir;    Philippin;    Arabe;    Latino-Américain;    Asiatique du Sud-Est;    Asiatique occidental;    Coréen;    Japonais;    Minorité visible, n.i.a.;    Minorités visibles multiples;  Pas une minorité visible;Population totale âgée de 15 ans et plus dans les ménages privés selon le plus haut certificat, diplôme ou grade;  Aucun certificat, diplôme ou grade;  Diplôme d'études secondaires ou attestation d'équivalence;    Certificat ou diplôme d'apprenti ou d'une école de métiers;    Certificat ou diplôme d'un collège, d'un cégep ou d'un autre établissement non universitaire;    Certificat ou diplôme universitaire inférieur au baccalauréat;      Baccalauréat;      Certificat ou diplôme universitaire supérieur au baccalauréat;Revenu total du ménage en 2015 pour les ménages privés;  Moins de 9 999 $;  10 000 $ à 19 999 $;  20 000 $ à 29 999 $;  30 000 $ à 39 999 $;  40 000 $ à 49 999 $;  50 000 $ à 59 999 $;  60 000 $ à 69 999 $;  70 000 $ à 79 999 $;  80 000 $ à 89 999 $;  90 000 $ à 99 999 $;  100 000 $ à 124 999 $;  125 000 $ à 149 999 $;  150 000 $ à 199 999 $;  200 000 $ et plus;Revenu du ménage en 2015 des ménages privés;    Revenu médian des ménages $;    Revenu moyen des ménages $;  Ménages privés comptant une personne-Revenu moyen des ménages $;  Ménages privés comptant une personne-Revenu médian des ménages $;  Ménages privés comptant deux personnes ou plus-Revenu moyen des ménages $;   Ménages privés comptant deux personnes ou plus-Revenu médian des ménages $;Population active totale âgée de 15 ans et plus selon l'industrie - Système de classification des industries de l'Amérique du Nord (SCIAN) 2017;  Industrie – sans objet;    11 Agriculture, foresterie, pêche et chasse;    21 Extraction minière, exploitation en carrière, et extraction de pétrole et de gaz;    22 Services publics;    23 Construction;    31-33 Fabrication;    41 Commerce de gros;    44-45 Commerce de détail;    48-49 Transport et entreposage;    51 Industrie de l'information et industrie culturelle;    52 Finance et assurances;    53 Services immobiliers et services de location et de location à bail;    54 Services professionnels, scientifiques et techniques;    55 Gestion de sociétés et d'entreprises;    56 Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement;    61 Services d'enseignement;    62 Soins de santé et assistance sociale;    71 Arts, spectacles et loisirs;    72 Services d'hébergement et de restauration;    81 Autres services (sauf les administrations publiques);    91 Administrations publiques;Nombre total de logements privés occupés selon le type de construction résidentielle;  Maison individuelle non attenante;  Maison jumelée;  Maison en rangée;  Appartement ou plain-pied dans un duplex;  Appartement dans un immeuble de moins de cinq étages;  Appartement dans un immeuble de cinq étages ou plus;  Autre maison individuelle attenante;  Logement mobile;Population active totale âgée de 15 ans et plus selon la catégorie de travailleurs;  Catégorie de travailleurs - sans objet;  Toutes les catégories de travailleurs;    Employés;    Travailleurs autonomes;Population active totale âgée de 15 ans et plus selon la profession - Classification nationale des professions (CNP) 2021;  Profession - sans objet;  Toutes les professions;    0 Membres des corps législatifs et cadres supérieurs/cadres supérieures (pourcentage);    1 Affaires, finance et administration (pourcentage);    2 Sciences naturelles et appliquées et domaines apparentés (pourcentage);    3 Secteur de la santé (pourcentage);    4 Enseignement, droit et services sociaux, communautaires et gouvernementaux (pourcentage);    5 Arts, culture, sports et loisirs (pourcentage);    6 Vente et services (pourcentage);    7 Métiers, transport, machinerie et domaines apparentés (pourcentage);    8 Ressources naturelles, agriculture et production connexe (pourcentage);    9 Fabrication et services d’utilité publique (pourcentage);  Identité autochtone (nombre);  Identité autochtone (pourcentage)
Province;8501835;10,60%;10,80%;12,80%;12,80%;12,80%;13,40%;13,70%;9,30%;5,00%;49,40%;50,60%;42,8;43,2;80,60%;8501835;901 915;918 820;987 765;1 086 480;1 089 045;1 138 590;1 167 580;786 720;424 775;4 201 960;462 435;470 245;501 730;542 070;545 970;569 860;571 760;371 775;166 070;4 299 870;439 585;448 600;486 115;544 305;543 065;568 785;595 865;414 970;258 665;7110470;;32,50%;;18,90%;0,20%;3,70%;0,40%;44,20%;;93,80%;18,90%;74,90%;6,20%;;83,00%;14,60%;15,50%;10,30%;15,70%;25,80%;32,70%;2,50%;2 323 410;44,60%;38,90%;16,50%;1,8;;13,00%;82,20%;3,90%;0,90%;;16,10%;9,55%;8,60%;31,50%;3,30%;20,90%;12,90%;5,30%;3,30%;0,80%;0,40%;0,90%;2,60%;83,90%;6918730;18,20%;21,40%;15,80%;17,40%;3,70%;14,60%;8,90%;;1,60%;3,60%;9,70%;8,40%;9,10%;8,30%;7,50%;6,80%;6,30%;5,60%;11,10%;7,50%;8,20%;6,40%;;72 500;92 000;47 680;38 800;116 000;97 000;;2,00%;1,80%;0,60%;0,70%;6,70%;10,10%;3,30%;11,60%;4,70%;2,10%;3,80%;1,40%;7,80%;0,10%;3,90%;7,70%;13,90%;1,60%;5,20%;4,30%;6,60%;3 749 035;44,60%;5,30%;2,60%;7,20%;33,20%;6,00%;0,40%;0,60%;;2,00%;98,00%;86,00%;12,00%;;2,00%;98,00%;1,80%;17,90%;8,30%;8,30%;12,90%;3,40%;24,50%;16,20%;2,00%;4,80%;205010;2,50%
Abitibi-Est;44055;11,70%;11,00%;11,20%;12,50%;11,80%;13,90%;15,00%;8,80%;4,10%;51,00%;49,00%;42,2;42,8;79,10%;44055;5145;4850;4935;5505;5190;6140;6600;3860;1825;22450;2585;2570;2545;2885;2680;3140;3365;1905;770;21605;2555;2285;2395;2615;2520;2995;3240;1955;1060;36250;;26,10%;;27,30%;0,30%;4,10%;0,60%;41,60%;;98,50%;21,00%;77,40%;1,60%;;97,30%;2,00%;12,90%;8,80%;3,50%;16,40%;57,90%;0,70%;12300;48,60%;36,20%;15,20%;1,8;;3,30%;96,00%;0,70%;0,10%;;3,00%;1,10%;4,20%;53,10%;6,10%;17,90%;7,60%;7,60%;0,00%;0,00%;0,00%;0,00%;1,10%;97,00%;35 395;28,20%;21,10%;21,90%;13,70%;2,50%;9,40%;3,20%;;1,30%;3,60%;10,90%;8,50%;8,60%;8,30%;6,60%;6,00%;5,80%;4,70%;10,10%;8,30%;9,70%;7,80%;;73 500;95 200;51 250;38 400;120 700;103 000;;1,50%;1,70%;15,50%;0,90%;4,80%;6,80%;2,70%;11,10%;5,20%;1,50%;1,60%;0,90%;5,10%;0,00%;3,90%;6,80%;13,60%;0,80%;5,90%;4,90%;4,60%;19 990;55,10%;3,90%;2,00%;10,20%;25,60%;1,10%;0,50%;1,60%;;1,50%;98,60%;90,90%;7,70%;;1,50%;98,60%;1,50%;14,40%;6,50%;7,40%;11,90%;1,60%;23,70%;21,60%;7,60%;3,70%;3715;8,60%
Abitibi-Ouest;45290;10,90%;11,40%;9,90%;11,40%;11,80%;13,70%;16,40%;9,90%;4,40%;51,00%;49,00%;43,5;45,2;79,80%;45290;4950;5175;4470;5180;5335;6225;7435;4505;1995;23085;2550;2610;2395;2665;2730;3185;3800;2265;870;22200;2395;2565;2080;2525;2600;3040;3625;2240;1135;37605;;29,20%;;25,50%;0,40%;4,00%;0,70%;40,30%;;99,30%;20,60%;78,80%;0,70%;;98,70%;0,90%;15,70%;6,00%;18,10%;19,30%;41,00%;0,40%;12860;50,90%;34,90%;14,30%;1,9;;1,10%;98,70%;0,20%;0,00%;;1,10%;3,03%;7,10%;47,50%;7,10%;13,10%;11,10%;7,10%;3,00%;0,00%;0,00%;0,00%;0,00%;98,90%;36520;28,90%;19,30%;26,10%;13,10%;2,60%;7,30%;2,60%;;0,90%;3,50%;10,50%;9,40%;9,10%;8,10%;7,20%;6,60%;6,10%;5,10%;11,00%;7,90%;9,20%;5,60%;;72 000;88 500;46 720;38 400;110 200;97 000;;1,60%;5,10%;10,70%;1,00%;6,50%;8,70%;3,20%;11,30%;4,40%;0,50%;1,70%;0,80%;3,10%;0,00%;3,00%;6,90%;15,90%;0,80%;4,90%;4,50%;5,50%;20 175;71,40%;2,40%;1,70%;6,00%;16,90%;0,00%;0,40%;1,10%;;1,60%;98,40%;88,60%;9,80%;;1,60%;98,40%;1,30%;13,70%;4,20%;8,30%;12,50%;1,10%;21,90%;23,90%;8,60%;4,40%;1730;3,90%
Acadie;82340;11,90%;11,20%;12,60%;13,80%;13,80%;12,60%;9,80%;7,50%;6,60%;48,80%;51,20%;41,1;40,4;79,10%;82340;9790;9255;10415;11345;11370;10405;8100;6180;5470;40190;5025;4785;5300;5560;5740;5420;3915;2625;1825;42145;4770;4465;5120;5785;5635;4995;4190;3555;3645;67650;;42,00%;;6,50%;0,10%;1,40%;0,10%;49,90%;;80,30%;17,80%;62,50%;19,70%;;43,70%;51,20%;14,20%;10,50%;16,30%;21,50%;37,50%;5,20%;20415;29,70%;49,60%;20,60%;1,9;;25,60%;54,70%;15,40%;4,20%;;53,30%;13,96%;4,00%;19,50%;1,50%;44,90%;6,40%;4,10%;2,70%;0,20%;0,20%;0,70%;1,90%;46,70%;65350;17,70%;19,80%;8,10%;15,60%;4,50%;20,20%;14,20%;;2,60%;4,40%;11,00%;10,10%;9,80%;8,60%;8,20%;7,30%;6,20%;5,60%;9,80%;5,40%;6,20%;4,80%;;64 000;81 000;45 040;36 400;101 700;85 000;;3,90%;0,20%;0,00%;0,50%;2,90%;10,20%;4,30%;12,30%;7,20%;2,70%;4,70%;1,80%;9,60%;0,10%;4,80%;7,50%;13,10%;1,00%;6,00%;3,70%;3,40%;33 845;7,30%;5,30%;1,20%;10,50%;41,70%;33,70%;0,20%;0,00%;;3,90%;96,10%;83,70%;12,40%;;3,90%;96,10%;1,30%;19,40%;10,60%;8,20%;12,00%;3,40%;27,30%;11,80%;0,40%;5,70%;265;0,30%
Anjou–Louis-Riel;63610;11,00%;11,00%;10,80%;12,00%;13,50%;13,00%;12,20%;9,60%;6,90%;47,80%;52,20%;43,4;43,6;79,90%;63610;7010;6970;6855;7610;8600;8240;7790;6110;4415;30405;3610;3530;3455;3595;4250;4150;3595;2530;1695;33205;3405;3435;3400;4015;4355;4100;4195;3580;2715;52730;;38,00%;;10,30%;0,20%;2,40%;0,30%;48,80%;;86,80%;17,60%;69,20%;13,20%;;59,80%;35,90%;15,10%;9,40%;14,50%;26,50%;34,50%;4,30%;16425;36,80%;42,80%;20,40%;1,8;;10,00%;80,50%;7,80%;1,70%;;37,80%;2,14%;3,90%;38,50%;0,40%;29,90%;14,90%;6,40%;1,10%;0,10%;0,20%;0,40%;2,00%;62,20%;51660;18,10%;21,10%;12,10%;16,80%;5,30%;16,50%;10,00%;;1,90%;3,20%;10,80%;9,00%;10,10%;9,30%;8,10%;7,20%;6,50%;5,60%;10,30%;6,10%;7,10%;4,70%;;67 000;83 900;46 800;39 200;107 000;91 000;;3,10%;0,30%;0,10%;0,60%;4,20%;8,10%;3,20%;11,00%;5,30%;2,50%;5,20%;1,90%;8,00%;0,20%;6,10%;7,50%;17,60%;1,20%;4,80%;3,80%;5,30%;28 170;6,40%;4,20%;3,40%;11,90%;60,00%;13,80%;0,20%;0,00%;;3,10%;96,90%;87,10%;9,70%;;3,10%;96,90%;1,20%;19,50%;8,70%;10,10%;12,90%;3,00%;27,30%;12,30%;0,60%;4,30%;465;0,70%
Argenteuil;64135;10,30%;9,90%;8,50%;11,40%;12,10%;15,80%;17,60%;10,20%;4,20%;50,90%;49,10%;44,9;48;81,50%;64135;6595;6360;5440;7300;7770;10130;11300;6555;2680;32640;3480;3240;2800;3645;3920;5235;5795;3370;1165;31490;3125;3125;2640;3650;3855;4895;5515;3175;1505;54060;;31,10%;;22,20%;0,40%;5,50%;0,60%;40,10%;;98,90%;18,80%;80,10%;1,10%;;95,60%;4,20%;34,60%;12,60%;13,90%;23,10%;15,80%;0,20%;18745;50,80%;34,50%;14,70%;1,7;;12,90%;85,80%;1,20%;0,10%;;1,70%;7,31%;16,90%;28,30%;3,20%;8,70%;22,40%;6,80%;1,40%;0,90%;0,00%;2,30%;3,20%;98,30%;52960;21,20%;24,60%;21,00%;16,50%;3,10%;9,40%;4,30%;;1,30%;3,40%;10,30%;8,80%;8,50%;8,80%;7,70%;7,00%;6,00%;6,00%;12,40%;7,70%;7,40%;4,90%;;72 000;87 600;46 960;36 000;107 400;93 000;;1,90%;2,00%;0,80%;0,70%;11,50%;12,60%;3,30%;11,70%;5,70%;1,40%;1,90%;1,10%;6,00%;0,10%;4,10%;5,90%;12,20%;2,40%;5,20%;4,60%;4,90%;28 770;77,70%;2,30%;0,90%;7,10%;10,80%;0,00%;0,50%;0,60%;;1,90%;98,10%;81,60%;16,50%;;1,90%;98,10%;2,50%;14,80%;5,50%;7,10%;10,80%;2,50%;22,80%;24,70%;3,00%;6,40%;1250;2,00%
Arthabaska;78850;10,50%;10,80%;9,70%;11,30%;11,70%;12,70%;15,30%;11,50%;6,50%;49,60%;50,40%;44,9;46,4;80,60%;78850;8310;8550;7620;8880;9240;10020;12050;9065;5110;39120;4325;4385;3960;4555;4760;4975;5835;4270;2050;39725;3980;4160;3665;4320;4480;5045;6215;4795;3065;65950;;29,40%;;22,50%;0,20%;4,80%;0,70%;42,40%;;98,00%;19,70%;78,30%;2,00%;;96,40%;2,50%;11,10%;9,80%;12,40%;29,30%;38,00%;1,10%;21685;50,70%;35,10%;14,20%;1,9;;0,90%;98,20%;0,40%;0,50%;;3,20%;1,23%;7,20%;23,00%;1,20%;14,80%;43,30%;4,70%;0,00%;0,00%;0,00%;0,60%;2,70%;96,80%;63145;24,00%;22,00%;21,60%;17,40%;2,80%;8,50%;3,60%;;1,00%;4,00%;11,90%;11,10%;10,90%;9,00%;7,60%;7,20%;6,10%;5,70%;10,30%;6,30%;5,80%;3,10%;;62 400;77 000;40 080;34 400;98 500;87 000;;1,40%;5,30%;0,30%;0,50%;7,10%;19,80%;4,00%;12,50%;3,20%;0,60%;2,00%;0,80%;4,80%;0,10%;3,00%;6,50%;13,70%;0,90%;5,50%;5,20%;2,90%;35 575;58,20%;8,00%;0,60%;5,20%;27,10%;0,00%;0,20%;0,50%;;1,40%;98,60%;85,40%;13,20%;;1,40%;98,60%;1,60%;13,80%;5,10%;7,50%;10,90%;1,90%;24,30%;19,70%;5,00%;10,30%;1025;1,40%
Beauce-Nord;57240;12,40%;12,00%;9,70%;12,50%;12,80%;12,60%;13,80%;9,30%;4,80%;51,00%;49,00%;42;42,4;77,60%;57240;7080;6890;5560;7170;7345;7220;7920;5295;2760;29185;3615;3480;2895;3695;3860;3790;4045;2680;1120;28055;3460;3410;2670;3480;3490;3430;3880;2610;1635;46370;;33,00%;;25,50%;0,20%;3,60%;0,50%;37,20%;;98,50%;23,00%;75,60%;1,40%;;97,50%;1,50%;19,20%;12,00%;7,80%;31,70%;29,90%;1,00%;16310;45,80%;41,40%;12,80%;1,9;;0,80%;98,70%;0,30%;0,20%;;1,90%;5,29%;7,20%;31,70%;0,00%;6,30%;39,40%;1,00%;1,00%;0,00%;0,00%;1,00%;6,30%;98,10%;44995;20,80%;22,50%;23,30%;18,10%;2,60%;9,30%;3,50%;;0,90%;2,20%;8,30%;7,70%;9,60%;8,60%;7,10%;7,30%;6,50%;7,10%;13,30%;8,50%;8,30%;4,60%;;77 500;88 900;45 040;40 800;107 100;97 000;;1,10%;6,70%;0,10%;0,30%;10,20%;21,10%;2,70%;10,90%;3,60%;0,90%;3,00%;0,90%;4,70%;0,10%;2,60%;5,70%;11,50%;0,60%;4,20%;4,60%;4,50%;23 690;74,90%;8,10%;1,10%;3,10%;11,30%;0,00%;0,70%;0,80%;;1,10%;98,90%;85,10%;13,80%;;1,10%;98,90%;1,60%;15,40%;5,50%;6,70%;10,20%;1,70%;21,10%;21,70%;6,10%;10,00%;840;1,50%
Beauce-Sud;63595;11,00%;11,20%;9,60%;11,60%;12,30%;13,70%;15,40%;10,20%;5,00%;51,00%;49,00%;43,7;45,2;79,80%;63595;6985;7125;6130;7365;7800;8720;9795;6505;3170;32420;3595;3710;3160;3880;4075;4515;4930;3230;1325;31175;3385;3420;2970;3490;3725;4205;4865;3280;1850;52760;;32,60%;;21,60%;0,20%;4,00%;0,60%;41,00%;;97,70%;20,40%;77,30%;2,30%;;96,90%;1,50%;22,30%;6,00%;6,00%;14,10%;51,60%;1,60%;17790;49,10%;37,00%;13,90%;1,9;;1,00%;98,50%;0,30%;0,30%;;2,40%;1,35%;2,70%;25,60%;8,10%;19,20%;36,40%;2,70%;0,00%;0,00%;0,00%;0,70%;3,00%;97,60%;51420;26,80%;21,90%;22,70%;15,80%;2,40%;7,80%;2,60%;;1,00%;3,80%;11,30%;9,60%;10,40%;9,50%;8,00%;7,20%;6,60%;5,20%;11,40%;7,20%;5,60%;3,20%;;65 500;80 500;40 960;35 600;102 400;89 000;;1,20%;5,00%;0,20%;0,20%;9,80%;24,10%;1,90%;11,80%;3,90%;0,50%;1,90%;0,80%;4,20%;0,00%;2,10%;6,30%;13,10%;0,70%;4,50%;5,10%;2,70%;28 640;68,00%;7,50%;1,10%;3,40%;17,80%;1,10%;0,70%;0,30%;;1,20%;98,80%;86,60%;12,10%;;1,20%;98,80%;1,60%;14,50%;5,20%;7,40%;9,50%;1,60%;21,90%;23,20%;4,30%;10,70%;885;1,40%
Beauharnois;61325;10,60%;9,00%;11,40%;12,40%;10,90%;13,50%;15,90%;10,90%;5,40%;49,20%;50,80%;44,5;45,6;82,00%;61325;6510;5525;7015;7605;6710;8270;9725;6655;3295;30180;3300;2865;3560;3875;3385;4040;4770;3100;1285;31145;3215;2655;3455;3720;3325;4230;4960;3565;2015;51825;;27,30%;;22,30%;0,30%;4,60%;0,70%;44,70%;;98,80%;18,20%;80,60%;1,20%;;96,50%;3,10%;22,10%;8,30%;13,30%;25,10%;30,90%;0,30%;17155;49,00%;33,10%;17,90%;1,7;;4,50%;94,30%;1,00%;0,10%;;3,00%;4,46%;3,90%;39,80%;6,40%;12,00%;20,90%;5,80%;1,90%;0,00%;0,60%;2,20%;1,90%;97,00%;50085;24,30%;24,80%;22,50%;15,80%;2,40%;7,20%;3,00%;;1,00%;4,00%;11,60%;9,50%;10,30%;9,40%;7,90%;6,90%;6,20%;5,60%;11,10%;6,30%;7,20%;2,90%;;65 000;78 200;41 800;35 600;99 300;90 000;;2,00%;1,80%;0,30%;1,50%;9,40%;12,60%;2,80%;12,80%;6,30%;0,80%;2,30%;0,90%;3,90%;0,10%;3,80%;6,40%;17,00%;1,00%;4,80%;5,10%;4,60%;28 330;49,60%;5,70%;1,50%;12,30%;30,20%;0,00%;0,30%;0,50%;;2,00%;98,00%;88,10%;9,90%;;2,00%;98,00%;1,30%;14,30%;4,50%;9,30%;12,00%;1,60%;24,40%;24,00%;2,00%;6,60%;1100;1,90%
