numeroCirconscription,nomCirconscription,nbBureauComplete,nbBureauTotal,nbVoteValide,nbVoteRejete,nbVoteExerce,nbElecteurInscrit,tauxVoteValide,tauxVoteRejete,tauxParticipation,numeroCandidat,nomCandidat,prenomCandidat,numeroPartiPolitique,abreviationPartiPolitique,nbVoteTotal,tauxVote,nbVoteAvance
648,Abitibi-Est,126,126,20695,404,21099,33723,98.09,1.91,62.57,2358,Dufour,Pierre,27,C.A.Q.-E.F.L.,9762,47.17,6718
648,Abitibi-Est,126,126,20695,404,21099,33723,98.09,1.91,62.57,2758,Matte,Jean-Maurice,6,P.L.Q./Q.L.P.,3044,14.71,0
648,Abitibi-Est,126,126,20695,404,21099,33723,98.09,1.91,62.57,2266,Gingras,Benjamin,40,Q.S.,2838,13.71,0
648,Abitibi-Est,126,126,20695,404,21099,33723,98.09,1.91,62.57,2573,Rouleau,Jacline,8,P.Q.,2565,12.39,0
648,Abitibi-Est,126,126,20695,404,21099,33723,98.09,1.91,62.57,2362,Perron-Tellier,Maxym,22,P.C.Q-E.E.D.,2486,12.01,0
642,Abitibi-Ouest,139,139,22246,319,22565,35424,98.59,1.41,63.7,2177,Blais,Suzanne,27,C.A.Q.-E.F.L.,10399,46.75,5780
642,Abitibi-Ouest,139,139,22246,319,22565,35424,98.59,1.41,63.7,2639,Doré,Samuel,8,P.Q.,4619,20.76,0
642,Abitibi-Ouest,139,139,22246,319,22565,35424,98.59,1.41,63.7,2463,Lapierre,Alexis,40,Q.S.,3623,16.29,0
642,Abitibi-Ouest,139,139,22246,319,22565,35424,98.59,1.41,63.7,2762,Vigneault,François,22,P.C.Q-E.E.D.,2293,10.31,0
642,Abitibi-Ouest,139,139,22246,319,22565,35424,98.59,1.41,63.7,2886,Bourgeois,Guy,6,P.L.Q./Q.L.P.,1153,5.18,0
642,Abitibi-Ouest,139,139,22246,319,22565,35424,98.59,1.41,63.7,2988,Blanchette,Jonathan,99209,U.N.,159,0.71,0
338,Acadie,165,165,25984,434,26418,49427,98.36,1.64,53.45,2636,Morin,André A.,6,P.L.Q./Q.L.P.,10981,42.26,6513
338,Acadie,165,165,25984,434,26418,49427,98.36,1.64,53.45,2442,Lévesque,Elyse,40,Q.S.,4468,17.2,0
338,Acadie,165,165,25984,434,26418,49427,98.36,1.64,53.45,2377,Otoya Celis,Rosmeri,27,C.A.Q.-E.F.L.,4446,17.11,0
338,Acadie,165,165,25984,434,26418,49427,98.36,1.64,53.45,2732,Gentile,Stéphanie,22,P.C.Q-E.E.D.,2955,11.37,0
338,Acadie,165,165,25984,434,26418,49427,98.36,1.64,53.45,2740,Lecours,Véronique,8,P.Q.,2565,9.87,0
338,Acadie,165,165,25984,434,26418,49427,98.36,1.64,53.45,2720,Al Nseir,Roula,10,P.V.Q./G.P.Q.,569,2.19,0
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2211,Boivin Roy,Karine,27,C.A.Q.-E.F.L.,9376,35.56,1331
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2202,Gagnon,Chantal,6,P.L.Q./Q.L.P.,8045,30.52,0
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2669,Pageau,Laurence,40,Q.S.,3893,14.77,0
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2733,Adda,Yastene,8,P.Q.,2910,11.04,0
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2813,Deneault,Genevieve,22,P.C.Q-E.E.D.,1887,7.16,0
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2921,Gélinas,Claude,99237,C.Q.,203,0.77,0
366,Anjou-Louis-Riel,133,133,26363,427,26790,41956,98.41,1.59,63.85,2826,LeRougetel,Katy,0,Ind,49,0.19,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2474,Grondin,Agnès,27,C.A.Q.-E.F.L.,14725,45.1,9434
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2724,Girard,François,8,P.Q.,5291,16.21,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2500,Elayoubi,Karim,22,P.C.Q-E.E.D.,4807,14.72,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2333,Lachaine,Marcel,40,Q.S.,3523,10.79,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2615,LeBel,Philippe,6,P.L.Q./Q.L.P.,3325,10.18,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2967,Lalonde,Jean,99263,P.C.Q./C.P.Q,436,1.34,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2734,Alvarez,Luis,10,P.V.Q./G.P.Q.,429,1.31,0
520,Argenteuil,177,177,32649,495,33144,51647,98.51,1.49,64.17,2915,Milot,Marie-Eve,99286,D.D.,113,0.35,0
144,Arthabaska,207,207,45309,720,46029,62120,98.44,1.56,74.1,2243,Lefebvre,Eric,27,C.A.Q.-E.F.L.,23447,51.75,12260
144,Arthabaska,207,207,45309,720,46029,62120,98.44,1.56,74.1,2465,Henoud,Tarek,22,P.C.Q-E.E.D.,11187,24.69,0
144,Arthabaska,207,207,45309,720,46029,62120,98.44,1.56,74.1,2982,Beauchesne,Mario,8,P.Q.,4538,10.02,0
144,Arthabaska,207,207,45309,720,46029,62120,98.44,1.56,74.1,2332,Fortin,Pascale,40,Q.S.,4179,9.22,0
144,Arthabaska,207,207,45309,720,46029,62120,98.44,1.56,74.1,2875,Arantes,Luciana,6,P.L.Q./Q.L.P.,1702,3.76,0
144,Arthabaska,207,207,45309,720,46029,62120,98.44,1.56,74.1,2654,Martel,Trystan,99237,C.Q.,256,0.57,0
806,Beauce-Nord,151,151,33591,372,33963,44093,98.9,1.1,77.03,2191,Provençal,Luc,27,C.A.Q.-E.F.L.,14590,43.43,202
806,Beauce-Nord,151,151,33591,372,33963,44093,98.9,1.1,77.03,2581,Dumais,Olivier,22,P.C.Q-E.E.D.,14388,42.83,0
806,Beauce-Nord,151,151,33591,372,33963,44093,98.9,1.1,77.03,2986,Lavoie-Savard,Paméla,8,P.Q.,1994,5.94,0
806,Beauce-Nord,151,151,33591,372,33963,44093,98.9,1.1,77.03,2350,Jacques-Côté,François,40,Q.S.,1522,4.53,0
806,Beauce-Nord,151,151,33591,372,33963,44093,98.9,1.1,77.03,2664,Rouleau,Clermont,6,P.L.Q./Q.L.P.,951,2.83,0
806,Beauce-Nord,151,151,33591,372,33963,44093,98.9,1.1,77.03,2634,Mathieu-Poulin,Gwendoline,99237,C.Q.,146,0.43,0
802,Beauce-Sud,180,180,37293,468,37761,49732,98.76,1.24,75.93,2170,Poulin,Samuel,27,C.A.Q.-E.F.L.,16615,44.55,428
802,Beauce-Sud,180,180,37293,468,37761,49732,98.76,1.24,75.93,2337,Poulin,Jonathan,22,P.C.Q-E.E.D.,16187,43.4,0
802,Beauce-Sud,180,180,37293,468,37761,49732,98.76,1.24,75.93,2209,Fecteau,Olivier,40,Q.S.,1623,4.35,0
802,Beauce-Sud,180,180,37293,468,37761,49732,98.76,1.24,75.93,2960,Major,Jean-François,8,P.Q.,1505,4.04,0
802,Beauce-Sud,180,180,37293,468,37761,49732,98.76,1.24,75.93,2756,Poulin,Antoine,6,P.L.Q./Q.L.P.,1057,2.83,0
802,Beauce-Sud,180,180,37293,468,37761,49732,98.76,1.24,75.93,2482,Mercier,Hans,37,P51,306,0.82,0
218,Beauharnois,175,175,33252,530,33782,50930,98.43,1.57,66.33,2281,Reid,Claude,27,C.A.Q.-E.F.L.,17882,53.78,12242
